date,season,home_team,away_team,home_score,away_score
2024-08-22,2425,Al Nassr,Al Raed,1,1
2024-08-22,2425,Al Taawoun,Al Fayha,1,0
2024-08-22,2425,Al Wehda,Al Riyadh,3,3
2024-08-23,2425,Al Ahli,Al Orobah,2,0
2024-08-23,2425,Al Qadsiah,Al Fateh,3,0
2024-08-23,2425,Damac,Al Khaleej,0,1
2024-08-24,2425,Al Kholood,Al Ittihad,0,1
2024-08-24,2425,Al Okhdood,Al Hilal,0,3
2024-08-24,2425,Al Shabab,Al Ettifaq,0,1
2024-08-27,2425,Al Fateh,Al Ahli,1,0
2024-08-27,2425,Al Fayha,Al Nassr,1,4
2024-08-27,2425,Al Raed,Al Qadsiah,0,1
2024-08-28,2425,Al Ettifaq,Al Okhdood,1,0
2024-08-28,2425,Al Hilal,Damac,3,2
2024-08-28,2425,Al Wehda,Al Orobah,2,1
2024-08-29,2425,Al Ittihad,Al Taawoun,2,1
2024-08-29,2425,Al Khaleej,Al Shabab,0,1
2024-08-29,2425,Al Riyadh,Al Kholood,3,1
2024-09-13,2425,Al Nassr,Al Ahli,1,1
2024-09-13,2425,Al Taawoun,Al Khaleej,2,0
2024-09-13,2425,Damac,Al Okhdood,3,1
2024-09-14,2425,Al Fateh,Al Ettifaq,1,2
2024-09-14,2425,Al Fayha,Al Raed,0,5
2024-09-14,2425,Al Riyadh,Al Hilal,0,3
2024-09-15,2425,Al Ittihad,Al Wehda,7,1
2024-09-15,2425,Al Kholood,Al Orobah,3,3
2024-09-15,2425,Al Qadsiah,Al Shabab,0,1
2024-09-19,2425,Al Okhdood,Al Qadsiah,0,0
2024-09-19,2425,Al Orobah,Al Fateh,1,0
2024-09-19,2425,Al Wehda,Al Kholood,0,1
2024-09-20,2425,Al Ahli,Damac,4,2
2024-09-20,2425,Al Ettifaq,Al Nassr,0,3
2024-09-20,2425,Al Khaleej,Al Fayha,0,0
2024-09-21,2425,Al Hilal,Al Ittihad,3,1
2024-09-21,2425,Al Raed,Al Riyadh,1,2
2024-09-21,2425,Al Shabab,Al Taawoun,1,0
2024-09-27,2425,Al Ittihad,Al Khaleej,4,1
2024-09-27,2425,Al Nassr,Al Wehda,2,0
2024-09-27,2425,Al Qadsiah,Al Ahli,1,0
2024-09-28,2425,Al Fateh,Al Okhdood,2,4
2024-09-28,2425,Al Kholood,Al Hilal,2,4
2024-09-28,2425,Al Orobah,Damac,1,0
2024-09-29,2425,Al Fayha,Al Riyadh,2,0
2024-09-29,2425,Al Shabab,Al Raed,2,1
2024-09-29,2425,Al Taawoun,Al Ettifaq,1,1
2024-10-03,2425,Al Ettifaq,Al Raed,0,1
2024-10-03,2425,Al Okhdood,Al Ittihad,1,2
2024-10-03,2425,Al Wehda,Al Fayha,2,2
2024-10-04,2425,Al Khaleej,Al Kholood,1,0
2024-10-04,2425,Al Riyadh,Al Qadsiah,2,1
2024-10-04,2425,Damac,Al Shabab,1,0
2024-10-05,2425,Al Ahli,Al Hilal,1,2
2024-10-05,2425,Al Nassr,Al Orobah,3,0
2024-10-05,2425,Al Taawoun,Al Fateh,2,0
2024-10-18,2425,Al Hilal,Al Fayha,3,0
2024-10-18,2425,Al Khaleej,Al Ahli,0,3
2024-10-18,2425,Al Shabab,Al Nassr,1,2
2024-10-19,2425,Al Ittihad,Al Qadsiah,3,1
2024-10-19,2425,Al Raed,Al Wehda,2,2
2024-10-19,2425,Damac,Al Taawoun,2,2
2024-10-20,2425,Al Ettifaq,Al Orobah,2,3
2024-10-20,2425,Al Fateh,Al Kholood,1,1
2024-10-20,2425,Al Okhdood,Al Riyadh,0,1
2024-10-24,2425,Al Orobah,Al Shabab,0,3
2024-10-24,2425,Al Riyadh,Al Ittihad,0,1
2024-10-24,2425,Al Wehda,Al Khaleej,1,3
2024-10-25,2425,Al Ahli,Al Okhdood,1,1
2024-10-25,2425,Al Kholood,Al Nassr,3,3
2024-10-25,2425,Al Qadsiah,Damac,2,1
2024-10-26,2425,Al Fayha,Al Ettifaq,1,1
2024-10-26,2425,Al Hilal,Al Taawoun,2,0
2024-10-26,2425,Al Raed,Al Fateh,2,1
2024-10-31,2425,Al Ittihad,Al Ahli,1,0
2024-10-31,2425,Al Okhdood,Al Orobah,4,0
2024-10-31,2425,Al Shabab,Al Wehda,3,1
2024-11-01,2425,Al Khaleej,Al Raed,4,0
2024-11-01,2425,Al Nassr,Al Hilal,1,1
2024-11-01,2425,Damac,Al Riyadh,2,2
2024-11-02,2425,Al Ettifaq,Al Qadsiah,0,2
2024-11-02,2425,Al Fateh,Al Fayha,1,1
2024-11-02,2425,Al Taawoun,Al Kholood,1,1
2024-11-07,2425,Al Kholood,Al Shabab,0,2
2024-11-07,2425,Al Orobah,Al Ittihad,0,2
2024-11-07,2425,Al Qadsiah,Al Fayha,2,0
2024-11-08,2425,Al Ahli,Al Raed,2,0
2024-11-08,2425,Al Hilal,Al Ettifaq,3,1
2024-11-08,2425,Al Riyadh,Al Nassr,0,1
2024-11-09,2425,Al Fateh,Al Khaleej,1,2
2024-11-09,2425,Al Taawoun,Al Okhdood,1,0
2024-11-09,2425,Al Wehda,Damac,2,3
2024-11-22,2425,Al Fayha,Al Ahli,0,1
2024-11-22,2425,Al Nassr,Al Qadsiah,1,2
2024-11-22,2425,Al Okhdood,Al Shabab,1,1
2024-11-23,2425,Al Khaleej,Al Hilal,3,2
2024-11-23,2425,Al Raed,Al Orobah,3,1
2024-11-23,2425,Al Wehda,Al Taawoun,1,0
2024-11-24,2425,Al Ittihad,Al Fateh,2,0
2024-11-24,2425,Al Riyadh,Al Ettifaq,0,0
2024-11-24,2425,Damac,Al Kholood,2,1
2024-11-28,2425,Al Fateh,Al Riyadh,1,2
2024-11-28,2425,Al Fayha,Al Orobah,0,1
2024-11-28,2425,Al Okhdood,Al Kholood,1,2
2024-11-29,2425,Al Ahli,Al Wehda,1,0
2024-11-29,2425,Al Nassr,Damac,2,0
2024-11-29,2425,Al Qadsiah,Al Khaleej,1,0
2024-11-30,2425,Al Ettifaq,Al Ittihad,0,4
2024-11-30,2425,Al Raed,Al Taawoun,0,1
2024-11-30,2425,Al Shabab,Al Hilal,1,2
2024-12-05,2425,Al Shabab,Al Fateh,2,2
2024-12-05,2425,Al Wehda,Al Okhdood,2,3
2024-12-05,2425,Damac,Al Fayha,2,2
2024-12-06,2425,Al Ittihad,Al Nassr,2,1
2024-12-06,2425,Al Kholood,Al Qadsiah,0,3
2024-12-06,2425,Al Orobah,Al Riyadh,0,1
